Title,Year,Duration,Minimum Age,Rating,Vote Count
Memories of Murder,2003,2h 12m,Not Rated,8.1,240K
Ratatouille,2007,1h 51m,G,8.1,883K
"Monsters, Inc.",2001,1h 32m,G,8.1,1M
In the Name of the Father,1993,2h 13m,R,8.1,195K
How to Train Your Dragon,2010,1h 38m,PG,8.1,842K
The Gold Rush,1925,1h 35m,Approved,8.1,124K
Wild Tales,2014,2h 2m,R,8.1,228K
Jaws,1975,2h 4m,PG,8.1,693K
Sherlock Jr.,1924,45m,Passed,8.2,62K
Mary and Max,2009,1h 32m,Not Rated,8.1,196K
The Deer Hunter,1978,3h 3m,R,8.1,375K
Ford v Ferrari,2019,2h 32m,PG-13,8.1,521K
The General,1926,1h 18m,Passed,8.1,102K
The Wages of Fear,1953,2h 36m,Not Rated,8.1,70K
On the Waterfront,1954,1h 48m,Approved,8.1,172K
Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1,126K
Wild Strawberries,1957,1h 32m,Not Rated,8.1,120K
Logan,2017,2h 17m,R,8.1,888K
I'm Still Here,2024,2h 17m,PG-13,8.3,105K
Rocky,1976,2h,PG,8.1,659K
The Third Man,1949,1h 44m,Approved,8.1,189K
Tokyo Story,1953,2h 17m,Not Rated,8.1,74K
Spotlight,2015,2h 9m,R,8.1,518K
The Big Lebowski,1998,1h 57m,R,8.1,889K
The Terminator,1984,1h 47m,R,8.1,963K
Maharaja,2024,2h 21m,N/A,8.4,67K
The Seventh Seal,1957,1h 36m,Not Rated,8.1,208K
Room,2015,1h 58m,R,8.1,467K
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,1.3M
La haine,1995,1h 38m,Not Rated,8.1,211K
Jai Bhim,2021,2h 44m,Approved,8.7,225K
Hotel Rwanda,2004,2h 1m,PG-13,8.1,383K
Platoon,1986,2h,R,8.1,455K
Before Sunset,2004,1h 20m,R,8.1,302K
The Best Years of Our Lives,1946,2h 50m,Approved,8.1,74K
The Exorcist,1973,2h 2m,R,8.1,477K
The Passion of Joan of Arc,1928,1h 54m,Passed,8.1,65K
The Wizard of Oz,1939,1h 42m,G,8.1,450K
The Sound of Music,1965,2h 52m,G,8.1,276K
The Incredibles,2004,1h 55m,PG,8.0,853K
Hachi: A Dog's Tale,2009,1h 33m,G,8.1,328K
Rush,2013,2h 3m,R,8.1,533K
Stand by Me,1986,1h 29m,R,8.1,463K
My Father and My Son,2005,1h 52m,Not Rated,8.2,97K
Network,1976,2h 1m,R,8.1,179K
The Iron Giant,1999,1h 26m,PG,8.1,244K
The Handmaiden,2016,2h 25m,Not Rated,8.1,188K
To Be or Not to Be,1942,1h 39m,Approved,8.1,47K
The Battle of Algiers,1966,2h 1m,Not Rated,8.1,71K
A Silent Voice: The Movie,2016,2h 10m,Not Rated,8.1,120K
The Grapes of Wrath,1940,2h 9m,Approved,8.1,104K
Into the Wild,2007,2h 28m,R,8.0,678K
Groundhog Day,1993,1h 41m,PG,8.0,715K
The Help,2011,2h 26m,PG-13,8.1,512K
Amores Perros,2000,2h 34m,R,8.0,267K
Rebecca,1940,2h 10m,Approved,8.1,158K
Drishyam,2015,2h 43m,Not Rated,8.2,101K
